Comment,Designator,Footprint,LCSC Part #
,Q3,SO-08,
0R,R0,R0603,
1k,R2 R13,R0603,
2k,R7,R0603,
4.7k,R3,R0603,
4.7u,C6 C8,C0603K,
4.7u,C11,C0805K,
4.7u,C18,C0603K,
10k,R1 R4 R6 R8 R14 R21 R22,R0603,
10n,C9,C0603K,
10u,C2,C0805K,
16V 5A,F1,SMD2920B,
22u,C1,C0805K,
51R,R9,R0603,
100k,R5,R0603,
100n,C3 C4 C5 C7 C16 C17,C0603K,
120k,R11,R0603,
150R,R12,R0603,
470k,R10,R0603,
AMS1117-3.3,VREG,SOT223,
AO3400A,Q4,SOT23-3,
B5819W,D1 D2 D3,SOD123,
IRLR2905,Q2,TO252,
KT-0805G,STATUS,SML0805,
KT-0805Y,POWER,SML0805,
SS8050,Q1,SOT23-BEC,
STM32F030C8,IC1,P-LFQFP48-7X7,
