Designator,Mid X,Mid Y,Layer,Rotation
C1,17.78, 3.12,Top,270.0
C2,14.92, 8.26,Top,180.0
C3,57.47,16.51,Top,0.0
C4,64.45,16.51,Top,180.0
C5,69.22,11.75,Top,270.0
C6,70.80,11.75,Top,270.0
C7,64.45,18.73,Top,0.0
C8,64.45,20.96,Top,0.0
C9,60.96,16.51,Top,180.0
C11,10.16,10.16,Top,0.0
C16,60.96,18.73,Top,0.0
C17,57.79, 6.03,Top,180.0
C18,56.83, 8.26,Top,90.0
D1,36.83,15.24,Top,270.0
D2,14.92,10.16,Top,180.0
D3,20.00, 4.45,Top,270.0
F1,11.43,21.59,Top,90.0
IC1,63.18,10.16,Top,270.0
POWER,26.04, 2.22,Top,180.0
Q1,48.90, 8.57,Top,0.0
Q2,44.20,14.92,Top,90.0
Q3,12.70,13.97,Top,270.0
Q4,40.96, 3.49,Top,0.0
R0,60.96,20.96,Top,180.0
R1,48.90, 3.49,Top,0.0
R2,48.90, 5.40,Top,0.0
R3,45.40, 9.84,Top,0.0
R4,57.47,14.29,Top,0.0
R5,70.03, 9.21,Top,0.0
R6,57.47,18.73,Top,180.0
R7,15.56,19.69,Top,90.0
R8,10.16, 8.26,Top,180.0
R9,56.20,12.07,Top,180.0
R10,27.94, 6.35,Top,180.0
R11,31.12, 6.35,Top,0.0
R12,22.54, 3.28,Top,270.0
R13,45.72, 1.59,Top,180.0
R14,48.90, 1.59,Top,180.0
R21,93.66,20.96,Top,180.0
R22,93.66, 6.35,Top,180.0
STATUS,53.98,11.11,Top,90.0
VREG,11.43, 4.13,Top,90.0
